 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,"1,126.70","1,281.70","1,425.10","1,846.10","2,373.60","2,673.80","2,972.70","3,595.00","4,370.50","4,114.10","4,094.30","4,437.10","4,247.60","4,413.10","4,578.60","3,952.80","4,124.10","4,531.00","5,287.70","5,396.20","5,343.00","6,377.20","6,802.80"
Andorra,"21,620.50","22,809.10","24,785.00","31,954.20","37,630.80","39,583.90","43,084.30","50,562.90","53,721.40","49,750.70","48,237.90","51,428.20","44,902.40","44,747.80","45,680.50","38,885.50","39,931.20","40,632.20","42,904.80","41,328.60","37,207.20","42,072.30","41,992.80"
Armenia,603.3,676.2,765.3,910.2,"1,166.60","1,608.20","2,109.50","3,064.30","3,908.90","2,917.40","3,143.00","3,462.70","3,643.70","3,833.20","4,017.20","3,666.10","3,680.00","4,042.00","4,391.90","4,828.50","4,505.90","4,966.50","7,014.20"
Austria,"24,625.60","24,558.80","26,527.60","32,294.00","36,889.20","38,417.50","40,669.30","46,915.30","51,920.00","48,153.30","46,903.80","51,442.30","48,564.90","50,731.10","51,786.40","44,195.80","45,307.60","47,429.20","51,466.60","50,070.40","48,809.20","53,637.70","52,131.40"
Azerbaijan,655.1,703.7,763.1,883.7,"1,045.00","1,578.40","2,473.00","3,851.30","5,574.50","4,950.40","5,843.50","7,189.80","7,495.90","7,875.30","7,890.80","5,500.50","3,880.70","4,147.20","4,739.80","4,805.80","4,229.90","5,408.00","7,736.70"
Belarus,"1,276.30","1,244.40","1,479.40","1,819.50","2,378.30","3,126.10","3,848.20","4,735.50","6,376.20","5,352.50","6,034.70","6,527.70","6,953.20","7,998.10","8,341.30","5,967.10","5,039.80","5,785.50","6,360.10","6,837.80","6,542.90","7,489.70","7,904.90"
Belgium,"23,098.90","23,015.10","25,006.20","30,655.20","35,429.40","36,809.70","38,705.10","44,319.20","48,303.40","44,760.30","44,184.90","47,410.60","44,670.60","46,758.00","47,764.10","41,008.30","42,012.60","44,198.50","47,545.00","46,641.70","45,517.90","51,268.40","49,582.80"
Bosnia and Herzegovina,"1,332.20","1,382.80","1,602.60","2,031.40","2,451.60","2,741.10","3,170.20","3,936.90","4,846.80","4,542.30","4,506.90","4,980.90","4,688.30","5,025.20","5,197.00","4,654.60","4,917.30","5,327.40","6,024.50","6,094.70","6,095.10","7,230.20","7,585.40"
Bulgaria,"1,621.30","1,770.90","2,093.00","2,719.50","3,389.70","3,899.80","4,523.10","5,888.80","7,271.30","6,988.30","6,862.80","7,857.00","7,431.00","7,686.60","7,912.50","7,081.10","7,574.20","8,386.60","9,451.90","9,878.80","10,153.50","12,222.20","13,772.50"
Channel Islands,"44,318.20","42,678.30","45,279.60","49,428.30","57,200.50","58,550.70","63,665.30","75,148.30",..,..,..,..,..,..,..,..,"58,094.00","57,683.90","62,316.20","61,281.30","57,339.50","67,960.70",..
Croatia,"4,952.40","5,364.00","6,219.50","8,192.30","9,723.40","10,446.40","11,489.40","13,728.50","15,857.70","14,387.70","13,664.20","14,624.00","13,410.80","13,949.10","13,971.00","12,071.10","12,550.70","13,562.10","15,003.10","15,086.20","14,236.50","17,747.80","18,413.20"
Cyprus,"14,388.30","14,821.40","16,093.20","20,252.20","23,792.60","24,959.30","26,729.30","31,244.90","35,397.40","32,109.20","31,105.00","32,485.80","28,991.90","27,797.50","27,244.30","23,487.20","24,715.10","26,697.00","29,419.90","29,417.90","28,036.00","31,552.00","31,283.50"
Czechia,"6,028.60","6,637.10","8,060.90","9,818.60","11,749.90","13,430.70","15,261.80","18,466.60","22,804.60","19,861.70","19,960.10","21,871.30","19,870.80","20,133.20","19,890.90","17,829.70","18,575.20","20,636.20","23,424.50","23,664.80","22,992.90","26,822.50","27,638.40"
Denmark,"30,743.40","30,751.60","33,228.60","40,458.90","46,511.90","48,799.70","52,027.20","58,487.00","64,321.70","58,163.60","58,041.40","61,753.60","58,507.50","61,191.20","62,549.00","53,254.90","54,664.00","57,610.10","61,591.90","59,593.00","60,915.40","68,007.80","66,983.10"
Estonia,"4,070.60","4,505.90","5,341.60","7,203.50","8,914.10","10,412.60","12,639.40","16,744.60","18,205.00","14,711.70","14,663.00","17,487.80","17,403.20","19,056.00","20,261.10","17,402.00","18,295.30","20,437.80","23,165.80","23,424.50","23,595.20","27,943.70","28,332.60"
Faroe Islands,"23,370.80","25,089.60","27,238.00","31,691.90","35,941.00","36,440.30","41,762.70","48,365.70","51,432.00","47,411.00","48,167.70","51,786.50","50,157.10","55,560.10","60,126.10","52,726.70","56,833.90","59,328.20","62,576.80","63,382.80","61,979.80","69,010.20",..
Finland,"24,345.90","24,967.80","26,997.80","32,927.70","37,772.20","39,054.90","41,222.60","48,476.40","53,772.80","47,481.50","46,505.30","51,148.90","47,708.10","49,892.20","50,327.20","42,801.90","43,814.00","46,412.10","49,987.60","48,629.90","49,169.70","53,489.80","50,536.60"
France,"22,416.40","22,449.30","24,288.30","29,627.90","33,797.20","34,768.20","36,470.20","41,557.60","45,516.00","41,737.80","40,676.10","43,846.50","40,870.90","42,602.70","43,068.50","36,652.90","37,062.50","38,781.00","41,557.90","40,494.90","39,055.30","43,659.00","40,963.80"
Georgia,749.9,802,853.5,"1,010.00","1,305.00","1,642.80","1,996.00","2,635.40","3,324.80","2,822.70","3,233.20","4,021.80","4,421.90","4,623.90","4,739.30","4,014.10","4,062.10","4,356.90","4,722.00","4,696.20","4,255.70","5,023.30","6,627.70"
Germany,"23,694.80","23,628.30","25,197.30","30,310.40","34,106.70","34,520.20","36,353.90","41,640.10","45,612.70","41,650.40","41,572.50","46,705.90","43,855.90","46,298.90","48,023.90","41,103.30","42,136.10","44,652.60","47,939.30","46,793.70","46,772.80","51,203.60","48,432.50"
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,"12,072.90","12,549.00","14,177.60","18,518.40","21,995.50","22,560.10","24,821.90","28,864.00","32,128.00","29,828.80","26,716.60","25,483.90","21,913.00","21,787.80","21,616.70","18,083.90","17,924.00","18,582.10","19,757.00","19,144.30","17,658.90","20,192.60","20,732.10"
Greenland,"19,004.00","19,275.40","20,652.80","27,459.90","32,023.70","32,489.70","35,458.30","39,780.90","44,366.80","44,918.80","43,988.50","47,186.90","45,937.00","47,535.50","50,485.20","44,536.40","48,181.90","50,765.70","54,545.30","53,309.60","54,693.50","57,116.40",..
Hungary,"4,624.30","5,276.00","6,655.30","8,419.40","10,301.70","11,223.40","11,489.60","13,940.90","15,772.30","13,077.30","13,217.50","14,234.50","12,984.80","13,715.10","14,294.30","12,717.00","13,104.70","14,621.20","16,425.20","16,786.20","16,125.60","18,772.10","18,463.20"
Iceland,"32,096.40","28,897.40","32,409.20","39,476.70","47,335.00","56,794.90","57,492.90","69,495.70","56,943.40","41,301.30","43,237.10","47,714.60","45,995.50","49,805.00","54,576.70","52,951.70","61,987.90","72,010.10","74,452.20","68,403.10","58,813.80","68,594.00","72,903.00"
Ireland,"26,334.60","28,282.40","32,705.40","41,203.50","47,754.20","50,933.00","54,329.20","61,396.40","61,353.10","52,133.10","48,663.60","52,183.10","49,054.70","51,546.40","55,643.10","62,054.00","62,895.90","69,970.90","79,250.40","80,927.10","85,420.20","100,172.10","104,038.90"
Isle of Man,"20,693.80","21,716.90","25,230.10","29,878.00","35,872.70","38,184.30","42,662.60","55,072.20","72,304.90","66,175.20","70,625.20","77,838.40","79,326.40","83,204.70","91,881.10","84,753.50","82,041.60","83,510.30","89,425.90","87,152.50","79,530.60",..,..
Italy,"20,137.60","20,501.00","22,376.30","27,526.30","31,317.20","32,055.10","33,529.70","37,870.70","40,944.90","37,226.80","36,035.60","38,649.60","35,051.50","35,560.10","35,565.70","30,242.40","30,960.70","32,406.70","34,622.20","33,673.80","31,918.70","35,770.00","34,158.00"
Kazakhstan,"1,229.00","1,490.90","1,658.00","2,068.10","2,874.30","3,771.30","5,291.60","6,771.40","8,458.00","7,165.20","9,070.50","11,634.00","12,386.70","13,890.60","12,807.30","10,510.80","7,714.80","9,247.60","9,812.60","9,812.60","9,121.60","10,373.80","11,243.70"
Kosovo,..,..,..,..,..,..,..,..,"2,965.40","2,847.60","3,009.50","3,540.80","3,410.70","3,704.60","3,902.50","3,520.80","3,759.50","4,009.40","4,384.20","4,416.00","4,310.90","5,269.80","5,351.40"
Kyrgyz Republic,279.6,308.4,321.7,380.5,433.2,476.6,543.1,721.8,966.4,871.2,880,"1,123.90","1,178.00","1,282.40","1,279.80","1,121.10","1,120.70","1,242.80","1,308.10","1,374.00","1,182.50","1,306.20","1,606.70"
Latvia,"3,361.60","3,578.00","4,136.90","5,145.20","6,378.70","7,594.90","9,723.40","14,113.50","16,467.10","12,331.90","11,421.00","13,339.00","13,847.30","15,007.50","15,742.40","13,786.50","14,331.80","15,695.10","17,865.00","17,945.20","18,207.10","21,080.20","21,851.10"
Liechtenstein,"75,210.20","74,658.50","79,797.50","90,317.70","100,710.60","105,751.50","114,652.20","130,908.40","143,540.60","126,261.40","141,466.90","158,603.60","149,461.70","173,659.50","179,467.50","167,809.20","165,845.90","170,875.70","175,286.60","167,259.20","165,284.50","184,083.30",..
Lithuania,"3,293.20","3,525.80","4,141.60","5,499.40","6,700.30","7,854.80","9,230.70","12,285.40","14,945.00","11,820.80","11,987.50","14,376.90","14,367.70","15,729.70","16,551.00","14,264.00","15,008.30","16,885.40","19,186.40","19,598.40","20,363.90","23,712.50","24,826.80"
Luxembourg,"48,659.60","48,440.10","53,005.70","65,689.30","76,544.90","80,988.10","90,788.80","107,475.30","120,422.10","109,419.70","110,886.00","119,025.10","112,584.70","120,000.10","123,678.70","105,462.00","106,899.30","110,193.20","116,786.50","112,621.80","117,370.50","133,590.10","126,426.10"
Moldova,440.5,507.4,570.8,682.3,897.2,"1,034.40","1,183.00","1,531.20","2,110.60","1,898.40","2,436.80","2,941.40","3,044.80","3,321.00","3,289.20","2,749.90","2,847.60","3,455.00","4,157.00","4,405.00","4,376.20","5,235.60","5,562.60"
Monaco,"81,764.30","82,410.90","90,152.90","111,308.70","127,736.90","130,819.00","143,289.10","184,626.70","204,097.20","168,922.70","161,780.70","179,369.30","165,497.10","185,055.50","195,772.70","170,338.60","174,606.50","173,611.80","194,287.10","199,382.80","182,537.30","234,317.10",..
Montenegro,"1,627.10","1,909.60","2,106.60","2,789.20","3,380.20","3,674.60","4,425.70","5,976.40","7,367.80","6,727.10","6,688.40","7,328.80","6,586.40","7,188.90","7,387.90","6,517.20","7,033.40","7,803.40","8,850.40","8,909.70","7,677.40","9,466.00","9,893.50"
Netherlands,"26,214.50","26,896.50","29,343.20","35,751.00","40,436.60","41,994.70","44,900.90","51,799.20","57,879.90","52,722.20","50,999.70","54,230.30","50,070.10","52,198.90","52,900.50","45,193.40","46,039.10","48,675.20","53,044.50","52,476.30","52,162.60","57,708.10","55,985.40"
North Macedonia,"1,861.90","1,823.00","1,989.10","2,440.50","2,795.90","3,072.70","3,363.00","4,079.40","4,841.30","4,584.70","4,577.70","5,098.10","4,728.30","5,241.10","5,495.70","4,861.60","5,149.60","5,450.50","6,108.70","6,070.40","5,965.50","6,694.60","6,591.50"
Norway,"38,178.10","38,602.10","43,170.70","50,250.20","57,768.40","67,047.20","74,434.10","85,502.80","97,503.50","80,347.10","88,163.20","101,221.80","102,175.90","103,553.80","97,666.70","74,810.00","70,867.40","76,131.80","82,792.80","76,430.60","68,340.00","90,655.40","106,148.80"
Poland,"4,501.50","4,991.20","5,207.10","5,701.60","6,681.30","8,021.50","9,035.50","11,254.30","13,995.80","11,525.90","12,504.30","13,776.40","13,010.80","13,558.30","14,182.00","12,560.10","12,378.80","13,815.50","15,504.50","15,700.00","15,816.80","17,999.80","18,321.30"
Portugal,"11,526.40","11,734.80","12,936.70","15,797.80","18,064.20","18,780.10","19,839.50","22,811.10","24,949.00","23,151.20","22,520.60","23,217.30","20,563.70","21,653.20","22,103.70","19,250.10","19,992.00","21,490.40","23,562.60","23,330.80","22,242.40","24,598.50","24,274.50"
Romania,"1,659.90","1,825.20","2,119.90","2,679.40","3,495.00","4,618.00","5,757.50","8,360.30","10,435.20","8,548.00","8,397.80","9,560.20","8,930.70","9,497.20","10,031.30","8,977.00","9,404.40","10,728.00","12,494.40","12,958.00","13,047.50","14,927.10","15,892.10"
Russian Federation,"1,771.60","2,100.40","2,377.50","2,975.10","4,102.40","5,323.50","6,920.20","9,101.20","11,635.30","8,562.80","10,675.00","14,311.10","15,420.90","15,974.60","14,095.60","9,313.00","8,704.90","10,720.30","11,287.40","11,536.30","10,194.40","12,593.20","15,345.10"
San Marino,"37,473.80","39,415.20","41,770.10","51,198.40","59,249.60","60,520.80","63,692.60","71,970.10","77,962.10","66,200.70","59,516.30","55,815.30","48,433.60","50,435.40","50,133.60","42,281.80","43,398.40","44,885.50","48,464.50","47,287.40","45,321.50","54,982.50",..
Serbia,914.8,"1,727.30","2,283.80","3,005.40","3,502.80","3,720.50","4,382.60","5,848.50","7,101.00","6,169.10","5,735.40","6,809.20","6,015.90","6,755.10","6,600.10","5,589.00","5,765.20","6,292.50","7,252.40","7,417.20","7,733.80","9,230.20","9,393.60"
Slovak Republic,"5,426.60","5,722.20","6,564.70","8,731.90","10,691.40","11,690.10","13,170.80","16,106.10","18,753.60","16,597.20","16,908.80","18,509.70","17,498.40","18,276.00","18,720.00","16,390.90","16,563.40","17,585.20","19,486.40","19,381.60","19,551.60","21,782.90","21,258.10"
Slovenia,"10,201.30","10,479.80","11,777.20","14,849.00","17,233.10","18,098.90","19,673.00","23,817.90","27,595.60","24,792.10","23,532.50","25,128.00","22,641.80","23,503.30","24,247.20","20,890.20","21,678.40","23,514.00","26,123.70","26,016.10","25,545.20","29,291.40","29,457.40"
Spain,"14,749.70","15,369.00","17,106.70","21,510.80","24,907.00","26,429.20","28,389.10","32,591.40","35,510.70","32,169.50","30,532.50","31,677.90","28,322.90","29,077.20","29,513.70","25,754.40","26,537.20","28,185.30","30,379.70","29,581.50","26,959.70","30,103.50","29,350.20"
Sweden,"29,624.80","27,247.80","29,899.10","37,321.80","42,821.80","43,437.10","46,593.30","53,700.20","56,152.60","46,946.80","52,869.00","60,755.80","58,037.80","61,126.90","60,020.40","51,545.50","51,965.20","53,791.50","54,589.10","51,939.40","52,837.90","61,143.20","55,873.20"
Switzerland,"38,864.00","39,638.40","42,458.50","49,337.50","54,659.60","56,243.90","59,009.00","64,991.00","74,175.90","71,565.60","76,531.40","90,476.80","85,836.20","87,304.30","88,725.00","83,806.40","82,153.10","82,254.40","85,216.60","84,121.90","85,656.30","91,991.60","92,101.50"
Tajikistan,137.2,168.6,186.7,233.1,305.3,333.7,401,517.4,704.7,666.7,740.3,837.9,959.4,"1,038.30","1,094.40",970.4,801.4,844.4,850.7,889,852.3,916.7,"1,054.20"
Turkiye,"4,278.30","3,100.50","3,640.80","4,704.80","6,031.80","7,369.40","8,003.80","9,668.40","10,802.60","8,989.70","10,615.00","11,308.40","11,697.50","12,507.80","12,020.30","10,851.90","10,734.30","10,464.00","9,400.80","9,103.00","8,561.10","9,661.20","10,616.10"
Turkmenistan,635.7,762.6,949.6,"1,256.00","1,418.80","1,658.70","2,074.40","2,520.30","3,778.70","3,901.70","4,286.90","5,453.20","6,441.90","7,049.80","7,685.50","6,208.30","6,163.30","6,354.50","6,721.30","7,180.50","7,297.20",..,..
Ukraine,658.3,807.8,911.9,"1,087.80","1,416.60","1,894.50","2,391.30","3,197.90","4,066.50","2,639.40","3,078.40","3,704.80","4,004.80","4,187.70","3,104.70","2,124.70","2,187.70","2,638.30","3,096.60","3,661.50","3,751.70","4,827.80","4,534.00"
United Kingdom,"28,289.70","27,888.60","30,078.60","34,480.90","40,392.30","42,131.80","44,537.70","50,438.20","47,432.90","38,820.00","39,693.20","42,150.70","42,485.60","43,449.10","47,447.60","45,071.10","41,146.10","40,622.70","43,306.30","42,747.10","40,318.40","46,585.90","45,850.40"
Uzbekistan,558.2,456.7,383.3,396.4,465.1,546.8,654.3,830.4,"1,082.30","1,213.30","1,742.30","2,051.10","2,267.60","2,419.70","2,628.50","2,754.00","2,704.70","1,916.80","1,604.30","1,795.20","1,759.30","1,993.40","2,255.20"
"Created from: World Development Indicators
Series : GDP per capita (current US$)



",,,,,,,,,,,,,,,,,,,,,,,
