Dataset: Transport infrastructure investment and maintenance spending,,,,,,,,,,,,,,,,,,,,,,,
Variable,,Road infrastructure maintenance,,,,,,,,,,,,,,,,,,,,,
Measure,,Euro,,,,,,,,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Country,Unit,,,,,,,,,,,,,,,,,,,,,,
Albania,Euro,"3,838,572","5,705,714","6,824,432","5,767,021","6,829,499","7,110,073","5,670,979","6,046,008","8,056,200","8,741,100","6,892,680","7,682,922","6,652,853","8,745,595","15,262,572","8,374,520","13,004,791","13,593,700","13,444,559","13,050,669","9,058,683","21,515,139"
Armenia,Euro,..,..,..,..,..,"8,770,105","9,588,976","10,683,530","11,111,985","9,861,331","10,974,728","10,252,482","10,706,482","10,085,012","10,050,491","11,236,616","11,586,347",..,..,..,..,..
Austria,Euro,"508,000,000","520,000,000","294,000,000","388,000,000","458,000,000","443,000,000","495,000,000","486,000,000","467,000,000","516,000,000","559,000,000","494,000,000","517,000,000","559,000,000","667,000,000","692,000,000","697,000,000","687,000,000","726,000,000","752,000,000","791,000,000","899,000,000"
Azerbaijan,Euro,..,"15,587,530","15,233,950","17,106,329","34,375,512","33,109,772","54,396,290","31,467,937","34,742,328","25,004,465","23,476,383","26,387,625","34,537,201","31,669,866","31,660,750","22,909,507","18,702,182","27,802,090","25,390,819","32,049,598","52,056,489","46,719,682"
Belgium,Euro,"59,000,000","62,000,000","68,000,000","73,000,000","77,000,000","80,000,000","104,000,000","94,000,000","102,000,000","111,000,000","184,000,000","156,000,000","145,000,000","147,000,000","206,000,000","457,000,000","528,000,000","396,797,000","216,000,000","213,000,000","155,000,000","498,000,000"
Bulgaria,Euro,..,..,..,..,..,..,"112,997,239","221,392,780","212,700,685","77,717,558","109,929,441","79,251,457","111,463,340","103,793,844","100,214,746","138,050,925","174,864,506","164,127,211","256,672,461","212,700,685","378,873,095","152,367,318"
Canada,Euro,"5,883,897,316","5,292,420,855","5,306,851,902","5,250,316,056","5,401,360,544","5,242,101,080","5,411,459,065","6,874,531,963","6,947,989,482","6,550,592,985","8,693,743,139","5,818,551,905","6,229,763,387","3,942,560,655","4,727,883,575","5,352,869,058","4,885,097,151","5,362,731,816","4,023,657,038","4,404,657,737",..,..
Chile,Euro,"233,379,649","178,374,202","113,538,923","142,008,534","205,170,154","174,099,956","225,752,123","269,763,955","362,759,378","382,222,031","370,627,393","627,587,113","746,443,970","677,475,685","619,126,344","945,437,491","833,095,860","769,955,312","857,929,397","839,460,555","745,653,735","883,656,367"
Croatia,Euro,"316,293,428","131,624,663","171,055,472","208,594,792","243,785,341","242,228,557","154,541,359","158,079,067","168,323,136","143,843,733","194,959,321","212,142,396","186,536,902","208,998,549","257,380,871","245,074,862","234,388,480","172,418,413","193,310,956","256,800,841","238,777,459","243,853,847"
Czech Republic,Euro,"202,478,387","271,629,661","280,122,408","264,236,387","296,530,087","350,374,178","544,247,694","589,735,646","611,282,503","578,344,951","669,805,763","569,721,666","570,711,610","513,098,756","587,126,577","684,442,001","767,272,566","721,269,258","871,462,499","982,477,464","883,823,780","1,137,802,767"
Denmark,Euro,"585,875,661","647,728,188","674,113,451","703,702,208","736,703,450","767,341,680","705,312,973","728,512,375","715,665,236","866,336,301","1,057,981,523","880,856,832","944,544,453","920,098,151","795,852,392","807,792,347","919,762,538","1,117,533,978","1,151,451,725",..,..,..
Estonia,Euro,"14,000,000","15,000,000","16,000,000","21,000,000","23,000,000","25,000,000","28,000,000","32,000,000","38,000,000","39,000,000","38,000,000","39,000,000","44,300,000","47,200,000","46,300,000","47,500,000","43,600,000","42,000,000","39,000,000","43,000,000","43,000,000","45,000,000"
Finland,Euro,"534,000,000","543,000,000","634,000,000","627,000,000","587,000,000","600,000,000","612,000,000","611,000,000","673,000,000","684,000,000","667,000,000","658,000,000","525,000,000","511,000,000","506,000,000","508,900,000","544,000,000","548,500,000","543,000,000","494,000,000","674,000,000","618,000,000"
France,Euro,"228,000,000","221,000,000","233,000,000","239,000,000","239,000,000","2,189,000,000","2,235,000,000","2,294,000,000","2,286,000,000","2,601,000,000","2,431,000,000","2,746,000,000","2,851,000,000","2,904,000,000","2,760,000,000","2,598,230,000","2,430,850,000","2,369,230,000","2,370,650,000","2,327,010,000","2,371,020,000","2,541,180,000"
Georgia,Euro,"8,212,878","9,157,016","7,715,677","6,596,034","6,297,229","6,202,924","9,845,162","11,364,133","11,880,826","11,092,194","9,334,659","13,382,773","15,073,010","14,075,583","15,635,581","15,458,628","17,867,380","30,354,370","30,251,371","25,112,563",..,..
Hungary,Euro,"106,752,616",..,..,..,"254,437,858","283,406,163","1,255,479,731","1,366,964,384","444,228,611","453,960,552","328,639,180","256,474,885","295,796,204","370,188,266","272,792,913","282,235,255","292,602,581","369,402,388","379,716,515","375,727,022","387,119,648","337,341,834"
Iceland,Euro,"24,639,056","23,235,780","24,015,537","25,922,800","26,469,080","33,548,813","32,283,484","35,516,848","52,616,079","30,022,457","28,853,328","28,979,457","29,746,314","27,800,233","32,285,309","43,390,381","45,396,545","68,009,710","83,480,691","71,110,230","67,683,997","73,545,317"
India,Euro,..,..,..,..,"2,379,359,311","3,773,575,886","5,155,803,010","5,381,615,838","5,296,159,315","6,254,548,450","9,380,190,058","9,299,044,764","7,763,576,019","7,040,892,842","7,232,097,268","7,488,777,127",..,..,..,..,..,..
Ireland,Euro,"105,000,000","132,000,000","141,000,000","144,000,000","148,000,000","156,000,000","176,000,000","184,000,000","193,000,000","170,000,000","165,000,000","159,000,000","139,000,000","128,000,000","85,000,000","82,000,000","83,000,000","81,000,000","88,000,000","75,000,000",..,..
Italy,Euro,"9,720,000,000","5,506,000,000","5,896,000,000","11,596,000,000","11,241,000,000","12,549,000,000","13,452,000,000","9,764,000,000","10,756,000,000","6,008,000,000","6,437,000,000","6,220,000,000","7,196,000,000","9,134,000,000","9,564,000,000","9,066,000,000","8,446,000,000","8,803,000,000","7,352,000,000","6,813,000,000","7,130,000,000",..
Japan,Euro,"22,283,760,217","19,840,516,920","17,768,892,601","15,466,361,780","14,624,128,802","14,014,343,818","11,778,583,591","11,373,301,294","10,878,548,197","13,529,011,467","13,962,828,222","15,681,455,308","17,611,048,245","16,256,879,830","14,088,902,215","14,437,402,241","16,924,776,117","17,221,813,044","16,478,060,928","21,665,777,072",..,..
Korea,Euro,..,"1,412,149,494","1,443,320,193","1,664,408,273","1,146,714,287","1,353,275,368","1,783,381,284","1,525,932,034","1,585,724,835","1,402,354,401","1,444,458,295","1,499,532,730","1,605,094,349","1,664,848,921","1,648,001,111","2,207,015,180","1,932,782,314","2,217,941,277","2,193,694,735","2,472,508,138",..,..
Latvia,Euro,"29,000,000","25,000,000","25,000,000","50,000,000","61,000,000","70,000,000","113,000,000","202,000,000","231,000,000","131,000,000","113,000,000","126,000,000","120,000,000","133,000,000","154,000,000","173,000,000","177,000,000","179,000,000","202,000,000","180,000,000","259,000,000","288,000,000"
Lithuania,Euro,"61,000,000","74,000,000","107,000,000","122,000,000","122,000,000","125,000,000","161,000,000","125,000,000","134,000,000","125,000,000","160,000,000","153,000,000","123,000,000","127,000,000","143,000,000","159,000,000","152,000,000","151,000,000","144,000,000","147,000,000","140,000,000","146,000,000"
Luxembourg,Euro,"25,765,679","30,853,951","33,120,349","43,127,097","32,047,956","34,905,083","24,226,070","23,060,201","26,752,215","29,624,634","33,780,303","36,920,161","33,700,351","36,529,441","35,183,325","34,742,273","45,629,575","53,994,598","66,938,483","39,770,487","39,089,271",..
Malta,Euro,"12,093,053","10,319,836","8,809,724","13,281,917","5,992,085","7,309,527","6,197,517","12,513,432","1,142,863","24,808,399","24,893,594","27,148,885","24,241,956","24,938,965","17,228,890",..,..,..,..,..,..,..
Mexico,Euro,"473,604,116","511,143,013","565,566,818","395,808,129","376,544,796","477,888,731","471,677,563","464,546,612","691,736,946","671,340,881","801,835,813","821,508,740","823,728,027","1,098,091,965","1,125,854,881","1,090,972,445","1,093,918,585","736,045,469","801,751,822","1,279,297,031","808,152,601","1,011,394,470"
Moldova,Euro,"6,613,699","6,162,980","8,181,266","7,616,098","10,170,155","8,353,953","11,035,787","11,257,262","18,128,510","17,295,455","37,007,231","36,434,446","55,120,488","63,987,179","72,023,589","41,398,542","25,629,859","29,268,386","48,724,202","34,106,100","51,938,848",..
Netherlands,Euro,"524,000,000","549,000,000","639,000,000","587,000,000","611,000,000","725,000,000","1,040,000,000","1,091,000,000","1,231,000,000","827,000,000","1,209,000,000","323,000,000",..,..,..,..,..,..,..,..,..,..
New Zealand,Euro,"326,232,217","340,018,329","368,680,430","414,752,797","480,703,518","565,924,628","539,509,702","612,197,111","576,388,463","603,995,390","746,644,260","843,808,285","995,168,835","887,540,613","928,088,558","949,898,289","898,642,899","993,351,189","1,062,923,550","1,091,764,097","1,050,506,246","1,148,895,272"
Norway,Euro,"553,261,767","608,157,636","937,936,912","843,052,691","906,365,341","991,900,560","1,054,273,393","1,109,212,676","1,148,599,358","1,220,557,236","1,361,104,172","1,615,361,913","1,746,639,021","1,840,975,772","1,990,042,010","1,948,287,238",..,..,..,..,..,..
Poland,Euro,"448,625,181","665,831,541","791,488,257","720,733,010","1,054,013,503","1,263,610,600","1,670,303,715","1,515,423,859","2,003,925,920","2,339,830,939","2,636,295,369","2,679,486,246","428,028,583","438,159,682","383,080,416","415,511,141","418,690,989","516,645,913","464,723,278","480,977,312","503,691,033","556,529,360"
Portugal,Euro,"128,000,000","229,000,000","181,000,000","221,000,000","233,000,000","177,000,000","203,000,000","192,000,000","141,000,000","124,000,000","102,000,000",..,"165,000,000","174,000,000",..,..,..,..,..,..,..,..
Romania,Euro,..,"341,407,151","234,575,013","267,930,860","379,272,054","425,408,569","1,041,028,260","1,335,570,269",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Serbia, Republic of",Euro,"24,678,084","61,350,003","106,853,802","99,971,419","183,721,645","259,527,057","259,667,904","300,420,599","331,268,787","258,703,640","229,023,066","205,257,511","208,925,522","129,162,451","142,981,461","163,039,020","180,885,523","202,667,181","297,727,425","343,219,713","368,768,797","403,695,989"
Slovak Republic,Euro,"67,000,000","68,000,000","69,000,000","72,000,000","82,000,000","100,000,000","130,000,000","156,000,000","161,000,000","192,000,000","175,000,000","157,000,000","193,000,000","204,000,000","181,000,000","201,025,000","215,000,000","230,000,000","295,700,000",..,"231,600,000","360,000,000"
Slovenia,Euro,"79,000,000","66,000,000","68,000,000","75,000,000","77,000,000","99,000,000","140,000,000","139,000,000","148,000,000","151,000,000","137,000,000","122,000,000","120,000,000","123,000,000","113,000,000","100,000,000","104,000,000","117,000,000","115,000,000","122,000,000","139,000,000","134,000,000"
Sweden,Euro,"747,108,064","754,994,220","805,000,546","755,994,915","758,356,164","787,707,029","809,440,956","836,134,499","858,488,702","786,789,841","873,791,493","856,484,558","958,801,842","1,043,639,096","1,017,489,474","1,183,601,475","1,129,994,824","1,034,876,361","1,033,080,815","999,839,421","1,027,545,504","1,230,384,039"
Switzerland,Euro,"765,230,789","1,410,222,458","1,452,426,390","1,492,733,610","1,475,940,677","1,520,377,188","1,533,913,928","1,409,873,988","1,611,114,612","1,817,338,897","1,998,263,638","2,235,008,104","2,413,507,011","2,402,307,255","2,420,549,975","2,761,333,833","2,699,504,678","2,708,708,168","2,593,298,121","2,634,133,190","2,785,200,411",..
Türkiye,Euro,"113,063,141","103,448,276","65,450,494","98,426,357","70,957,932","88,812,064","157,166,574","278,182,022","308,829,698","410,673,820","359,985,981","674,518,201","699,935,191","630,107,782","557,963,536","239,261,367","230,053,550","229,291,018","236,198,365","326,076,698","371,599,781","364,287,762"
United Kingdom,Euro,"5,118,949,959","5,150,345,715","5,163,804,071","4,833,068,362","5,450,928,382","5,661,646,440","5,856,556,175","5,636,560,555","5,008,114,438","4,336,387,814","3,917,271,032","3,444,324,729","3,450,578,227","3,145,366,227","2,881,340,526","3,164,292,011","2,505,871,291","2,017,834,969","2,331,094,033","2,311,819,218",..,..
United States,Euro,"33,156,534,632","35,369,493,077","35,869,487,311","31,361,344,062","29,218,355,184","30,432,381,909","32,193,932,671","33,386,200,934","30,580,779,954","35,478,645,661","36,759,866,199","33,048,626,409","37,344,244,276","34,207,950,610","38,713,305,270","46,652,751,226","49,984,427,002","45,552,324,486","51,322,067,507","54,933,011,790","53,750,985,718",..
Data extracted on 17 Oct 2023 22:11 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,
B:,Break,,,,,,,,,,,,,,,,,,,,,,
P:,Provisional value,,,,,,,,,,,,,,,,,,,,,,
E:,Estimated value,,,,,,,,,,,,,,,,,,,,,,
