Data extracted on 11/10/2023 10:40:03 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Rail transport of passengers [TTR00015],,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,06/09/2023 23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Millions of passenger-kilometres,,,,,,,,,,,,,,,,,,,,,,
Transport coverage,,Total transport,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TIME,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),:,c,:,,:,c,:,c,"375,713",,"384,335",,"394,142",,"400,427",,"413,923",,"223,668",,"260,715",,:,
Euro area – 20 countries (from 2023),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area - 19 countries  (2015-2022),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,"10,498",,:,,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
Bulgaria,"2,059",,"1,870",,"1,821",,"1,698",,"1,549",,"1,455",,"1,434",,"1,476",,"1,520",,"1,118",,"1,203",,"1,600",
Czechia,:,,"7,196",,"7,512",,"7,644",,"8,125",,"8,738",,"9,403",,"10,220",,"10,856",,"6,623",,"6,752",,"9,394",
Denmark,"6,395",,"6,534",,"6,566",,"6,513",,"6,507",,"6,332",,"6,280",,"6,182",,"6,174",,"3,940",,"4,181",,:,
Germany,"89,316",,"93,918",,"89,450",,"90,978",,"91,050",,"95,465",,"95,529",,"98,161",,"100,252",,"57,787",,"57,518",,:,
Estonia,243,,235,,223,,280,,286,,316,,366,,417,,392,,263,,290,,382,
Ireland,"1,638",,"1,578",,"1,569",,"1,728",,"1,918",,"1,991",,"2,122",,"2,281",,"2,399",,834,,870,,"1,748",
Greece,958,,832,,"1,056",,"1,072",,"1,263",,"1,192",,"1,112",,"1,104",,"1,252",,640,,653,,"1,117",
Spain,"22,645",,"22,170",,"23,660",,"24,915",,"26,018",,"26,532",,"27,374",,"28,317",,"28,703",,"11,987",,"17,002",,"27,489",
France,"91,298",,"91,205",,"90,485",,"89,499",,"91,377",,"91,832",,"95,024",,"91,818",,"96,540",,"56,606",,"75,854",,"102,814",
Croatia,"1,457",,"1,080",,935,,917,,941,,827,,736,,747,,724,,448,,538,,812,
Italy,"45,944",,"45,753",,"47,707",,"48,881",,"51,121",,"51,716",,"52,778",,"55,037",,"56,160",,"22,064",,"27,444",,:,
Cyprus,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Latvia,733,,717,,721,,644,,590,,584,,596,,624,,643,,413,,361,,541,
Lithuania,269,,278,,278,,270,,262,,280,,315,,354,,359,,237,,287,,382,
Luxembourg,349,,373,,394,,366,,418,,417,,438,,443,,463,,268,,304,,389,
Hungary,"7,763",,"7,769",,"7,806",,"7,710",,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
Malta,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Netherlands,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
Austria,"10,172",,"10,606",,"11,188",,"11,345",,"11,433",,"12,021",,"12,077",,"12,681",,"12,761",,"6,964",,"8,054",,"12,371",
Poland,"17,633",,"17,110",,"16,453",,"15,479",,"17,024",,"18,753",,"20,120",,"20,849",,:,c,:,c,:,c,"23,646",
Portugal,"4,237",,"3,803",,"3,649",,"3,852",,"3,957",,"4,266",,"4,516",,"4,570",,"5,055",,"2,563",,"2,912",,"4,419",
Romania,"5,044",,"4,518",,"4,352",,"4,971",,"4,910",,"4,731",,"5,556",,"5,426",,"5,735",,"3,609",,"4,104",,"5,616",
Slovenia,689,,659,,679,,620,,628,,611,,570,,568,,572,,338,,504,,645,
Slovakia,"2,431",,"2,459",,"2,485",,"2,583",,"3,411",,"3,484",,"3,754",,"3,792",,"3,957",,"2,133",,"1,969",,"3,168",
Finland,"3,882",,"4,035",,"4,053",,"3,874",,"4,114",,"3,868",,"4,271",,"4,535",,"4,924",,"2,820",,"2,903",,"12,556",
Sweden,"11,379",,"11,792",,"11,842",,"12,121",,"12,741",,"12,800",,"13,331",,"13,547",,"14,617",,"8,129",,"8,027",,:,c
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,"3,076",,"3,092",,"3,260",,"3,440",,"3,555",,"3,695",,"3,584",,"3,722",,"3,715",,"1,801",,"1,780",,:,
Switzerland,"18,320",,"18,115",,"18,277",,"18,801",,"19,089",,"19,573",,"19,586",,"19,245",,"20,315",,"12,419",,"13,321",,:,
United Kingdom,"58,462",,"60,783",,"61,950",,"64,711",,"66,594",,"68,010",,"68,912",,"69,706",,"71,823",,:,,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
North Macedonia,145,,99,,80,,80,,177,,83,,59,,63,,62,,25,,25,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Türkiye,"5,882",,"4,598",,"3,775",,"4,393",,"4,828",,"4,325",,"4,566",,"5,560",,"11,068",,"6,094",,"8,544",,"17,473",
,,,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,,,
c,confidential,,,,,,,,,,,,,,,,,,,,,,,
