Year,Country,COUNTRY,VARIABLE,Variable,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1995,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,8391.0,,
1995,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,65853.0,,
1995,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,10632.0,B,Break
1995,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,3507000.0,E,Estimated value
1995,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,933361.0,,
1995,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,241771.0,,
1995,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,21745.0,,
1995,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,12061.0,,
1995,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,27475.0,,
1995,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,1655.0,,
1995,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,13022.0,,
1995,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,29451.0,,
1995,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,10573.0,,
1995,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,18465.0,,
1995,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,84026.0,,
1995,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,322412.0,,
1995,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,189815.0,,
1995,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,342070.0,,
1995,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,273637.0,,
1995,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,17538.0,,
1995,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,38555.0,,
1995,India,,,,,,,,,,,,,
1995,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,120323.0,,
1995,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,5180.0,,
1995,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,73568.0,,
1995,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,12233.0,,
1996,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,8187.0,,
1996,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,68727.0,,
1996,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,9703.0,,
1996,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,3525000.0,E,Estimated value
1996,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,952147.0,,
1996,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,230412.0,,
1996,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,21347.0,,
1996,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,12280.0,,
1996,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,25309.0,,
1996,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,1568.0,,
1996,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,13217.0,B,Break
1996,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,27155.0,,
1996,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,10324.0,,
1996,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,16903.0,,
1996,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,84137.0,,
1996,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,333153.0,,
1996,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,178197.0,,
1996,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,368615.0,,
1996,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,285491.0,,
1996,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,15352.0,,
1996,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,39311.0,,
1996,India,,,,,,,,,,,,,
1996,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,110027.0,,
1996,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,5890.0,,
1996,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,68259.0,,
1996,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,12264.0,,
1997,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,9026.0,,
1997,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,68455.0,,
1997,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,9395.0,,
1997,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,3390000.0,E,Estimated value
1997,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,968567.0,,
1997,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,220477.0,,
1997,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,21821.0,,
1997,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,12126.0,,
1997,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,26148.0,,
1997,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,1511.0,,
1997,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,12953.0,,
1997,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,27872.0,,
1997,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,10106.0,,
1997,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,16948.0,,
1997,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,97788.0,,
1997,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,340501.0,,
1997,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,177567.0,,
1997,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,354762.0,,
1997,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,284410.0,,
1997,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,14007.0,,
1997,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,38205.0,,
1997,India,,,,,,,,,,,,,
1997,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,111371.0,,
1997,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,6923.0,,
1997,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,70907.0,,
1997,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,13361.0,,
1998,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,7627.0,,
1998,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,68468.0,,
1998,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,9497.0,,
1998,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,3234000.0,E,Estimated value
1998,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,999890.0,,
1998,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,216238.0,,
1998,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,21887.0,,
1998,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,12472.0,,
1998,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,27763.0,,
1998,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,1605.0,,
1998,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,12882.0,,
1998,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,28387.0,,
1998,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,9674.0,,
1998,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,18764.0,,
1998,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,91720.0,,
1998,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,338614.0,,
1998,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,176972.0,,
1998,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,349621.0,,
1998,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,307055.0,,
1998,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,13042.0,,
1998,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,36587.0,,
1998,India,,,,,,,,,,,,,
1998,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,131876.0,,
1998,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,8496.0,,
1998,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,72260.0,,
1998,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,13721.0,,
1999,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,9314.0,,
1999,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,67077.0,,
1999,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,9483.0,,
1999,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,3278000.0,E,Estimated value
1999,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,1059411.0,,
1999,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,221437.0,,
1999,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,22544.0,,
1999,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,11764.0,,
1999,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,25976.0,,
1999,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,1726.0,,
1999,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,13574.0,,
1999,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,30110.0,,
1999,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,9907.0,,
1999,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,18765.0,,
1999,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,75179.0,,
1999,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,333759.0,,
1999,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,175601.0,,
1999,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,412320.0,,
1999,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,336375.0,,
1999,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,12671.0,,
1999,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,36165.0,,
1999,India,,,,,,,,,,,,,
1999,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,130871.0,,
1999,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,8444.0,,
1999,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,72543.0,,
1999,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,12113.0,,
2000,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,11887.0,,
2000,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,61553.0,,
2000,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,8904.0,,
2000,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,3231000.0,E,Estimated value
2000,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,1164780.0,,
2000,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,225752.0,,
2000,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,22623.0,,
2000,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,12003.0,,
2000,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,23898.0,,
2000,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,1520.0,,
2000,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,12673.0,,
2000,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,30650.0,,
2000,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,9590.0,,
2000,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,21156.0,,
2000,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,77932.0,,
2000,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,335003.0,,
2000,France,FRA,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,169760.0,,
2000,Korea,KOR,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,437220.0,,
2000,Italy,ITA,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,374135.0,,
2000,New Zealand,NZL,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,11524.0,,
2000,Czech Republic,CZE,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,33925.0,,
2000,India,,,,,,,,,,,,,
2000,Türkiye,TUR,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,142261.0,,
2000,Lithuania,LTU,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,7601.0,,
2000,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,69431.0,,
2000,Slovak Republic,SVK,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,10722.0,,
2001,Slovenia,SVN,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,12951.0,,
2001,Portugal,PRT,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,58510.0,,
2001,Finland,FIN,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,8844.0,,
2001,United States,USA,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,3075000.0,E,Estimated value
2001,Japan,JPN,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,1189796.0,,
2001,Canada,CAN,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,219300.0,,
2001,Sweden,SWE,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,22913.0,,
2001,Norway,NOR,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,11797.0,,
2001,Hungary,HUN,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,25388.0,,
2001,Iceland,ISL,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,1302.0,,
2001,Netherlands,NLD,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,12112.0,,
2001,Switzerland,CHE,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,30704.0,,
2001,Denmark,DNK,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,8896.0,,
2001,Croatia,HRV,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,22740.0,,
2001,Poland,POL,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,73728.0,,
2001,United Kingdom,GBR,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,326451.0,,
